episode,channel,x_m,y_m,outcome,theta_deg,stage
3,5,-314.31,-931.09,direction,149.08,sweep
3,5,-902.87,-372.0,no_signal,,sweep
3,5,-878.56,438.35,no_signal,,sweep
3,5,-1850.0,0.0,no_signal,,sweep
3,5,-1602.15,-925.0,no_signal,,sweep
3,5,-925.0,-1602.15,direction,87.54,sweep
3,6,0.0,0.0,no_signal,,sweep
3,6,961.27,-166.95,no_signal,,sweep
3,6,508.27,-848.27,direction,39.93,sweep
3,6,1602.15,-925.0,direction,128.00,sweep
3,7,0.0,0.0,no_signal,,sweep
3,7,961.27,-166.95,no_signal,,sweep
3,7,508.27,-848.27,no_signal,,sweep
3,7,-314.31,-931.09,no_signal,,sweep
3,7,-902.87,-372.0,no_signal,,sweep
3,7,-878.56,438.35,no_signal,,sweep
3,7,-234.57,967.4,no_signal,,sweep
3,7,0.0,1850.0,no_signal,,sweep
3,7,-925.0,1602.15,no_signal,,sweep
3,7,-1602.15,925.0,no_signal,,sweep
3,7,-1850.0,0.0,no_signal,,sweep
3,7,-1602.15,-925.0,no_signal,,sweep
3,7,-925.0,-1602.15,no_signal,,sweep
3,7,-0.0,-1850.0,no_signal,,sweep
3,7,925.0,-1602.15,no_signal,,sweep
3,7,1602.15,-925.0,no_signal,,sweep
3,7,1850.0,0.0,no_signal,,sweep
3,7,1602.15,925.0,no_signal,,sweep
3,7,856.23,898.93,no_signal,,sweep
3,7,925.0,1602.15,no_signal,,sweep
3,8,0.0,0.0,no_signal,,sweep
3,8,961.27,-166.95,no_signal,,sweep
3,8,508.27,-848.27,no_signal,,sweep
3,8,-314.31,-931.09,no_signal,,sweep
3,8,-902.87,-372.0,no_signal,,sweep
3,8,-878.56,438.35,no_signal,,sweep
3,8,-234.57,967.4,no_signal,,sweep
3,8,0.0,1850.0,no_signal,,sweep
3,8,-925.0,1602.15,no_signal,,sweep
3,8,-1602.15,925.0,no_signal,,sweep
3,8,-1850.0,0.0,no_signal,,sweep
3,8,-1602.15,-925.0,no_signal,,sweep
3,8,-925.0,-1602.15,no_signal,,sweep
3,8,-0.0,-1850.0,no_signal,,sweep
3,8,925.0,-1602.15,no_signal,,sweep
